measure,location,sex,age,cause,metric,year_start,year_end,val,upper,lower
3,87,1,27,961,2,2010,2019,0.06460285057697304,0.1798874337554376,-0.03440219622872624
3,87,2,27,961,2,2010,2019,0.0398621716593282,0.13588203083827807,-0.04622634288927931
3,87,3,27,961,2,2010,2019,0.0523106090709814,0.13195669570558333,-0.013084993425948844
3,87,1,27,962,2,2010,2019,0.011038838806475394,0.26558957272709727,-0.19723867144876672
3,87,2,27,962,2,2010,2019,-0.029528366411685145,0.20547028284671096,-0.21327275647112512
3,87,3,27,962,2,2010,2019,-0.008443543781536231,0.22769356151589906,-0.20767345237294613
3,88,1,27,344,2,2010,2019,-0.10780055049520382,0.5212583538419491,-0.4861112374360274
3,88,2,27,344,2,2010,2019,-0.14780705447155476,0.18715315996030796,-0.3908461391960969
3,88,3,27,344,2,2010,2019,-0.12925916568916254,0.17531584748174228,-0.36888312298101955
3,55,1,27,669,2,2010,2019,0.018655438696250547,0.0625049271363758,-0.02634649776192355
3,55,2,27,669,2,2010,2019,0.010233975372961108,0.0489380210258781,-0.02727231168673921
3,55,3,27,669,2,2010,2019,0.012909437490184793,0.04672303530833235,-0.018475786648433263
3,55,1,27,955,2,2010,2019,0.10711429268633742,0.32043386028235993,-0.06143953878024708
3,55,2,27,955,2,2010,2019,0.003245322253880825,0.10537083407574949,-0.07948669635302467
3,55,3,27,955,2,2010,2019,0.0315229824637662,0.12113535452598694,-0.05250082040311762
3,55,1,27,956,2,2010,2019,0.013521588334529365,0.07558679486913472,-0.04512084438802451
3,55,2,27,956,2,2010,2019,-0.005537892524503824,0.06185841701153232,-0.0673097351167377
3,55,3,27,956,2,2010,2019,0.0034881345150884345,0.04845809185634528,-0.04017739042241601
3,55,1,27,957,2,2010,2019,0.10565496297043694,0.24153839028611362,-0.019451801731872432
3,55,2,27,957,2,2010,2019,0.07596770185826428,0.19962884122795352,-0.032945204160986855
3,55,3,27,957,2,2010,2019,0.08991845854359815,0.19254545960319788,-0.0011706987376047377
3,55,1,27,961,2,2010,2019,0.054998411515525966,0.18104243475869158,-0.041609673351760794
3,55,2,27,961,2,2010,2019,0.04957202039570961,0.1542894572317089,-0.04583346006491313
3,55,3,27,961,2,2010,2019,0.05130303250179037,0.1324647048762157,-0.023080098492068293
3,55,1,27,962,2,2010,2019,0.07229548017700188,0.32360515796955436,-0.13539829533504455
3,55,2,27,962,2,2010,2019,-0.14464844443541303,0.04620908371931987,-0.3133785484993165
3,55,3,27,962,2,2010,2019,-0.04974741598052262,0.15808956735732915,-0.22906731072025444
3,88,1,27,491,2,2010,2019,0.030487236488161183,0.09970959221762567,-0.03441241219629872
3,88,2,27,491,2,2010,2019,-0.0543014685505682,-0.00012311364731810867,-0.1093433815102406
3,88,3,27,491,2,2010,2019,-0.010584634942318582,0.038595061804725495,-0.059840394948444425
3,87,1,27,973,2,2010,2019,-0.07526541427649946,0.049605089181794154,-0.18914859098059872
3,87,2,27,973,2,2010,2019,-0.032784547576502523,0.09576611726905465,-0.14266339367783698
3,87,3,27,973,2,2010,2019,-0.05906896974779575,0.0343784631807868,-0.1506690056107307
3,87,1,27,974,2,2010,2019,0.3101613422248168,0.42320708208976826,0.21005898573576026
3,87,2,27,974,2,2010,2019,0.39864095980270337,0.5143534705658962,0.2916875043530071
3,87,3,27,974,2,2010,2019,0.3562721079966652,0.44329330592336386,0.27250791129615176
3,88,1,27,688,2,2010,2019,-0.08082927586709887,-0.04991282042058323,-0.10759072992297665
3,88,2,27,688,2,2010,2019,0.14137077959782354,0.17957035686134687,0.10519693003922205
3,88,3,27,688,2,2010,2019,-0.013040190840586826,0.012633747957510903,-0.03816985091137655
3,77,1,27,344,2,2010,2019,-0.09572762837050207,0.4800651516407537,-0.4690834014240629
3,77,2,27,344,2,2010,2019,-0.07353394288366812,0.35257126178321463,-0.3605744961158114
3,77,3,27,344,2,2010,2019,-0.07899214921732257,0.2720675544167416,-0.3350677163549722
3,88,1,27,696,2,2010,2019,0.04602876962794155,0.07357834672890519,0.021983901637375448
3,88,2,27,696,2,2010,2019,-0.036287710836891175,-0.01193622964466973,-0.06059562632829096
3,88,3,27,696,2,2010,2019,0.008732173270321926,0.028399293034242684,-0.009062744468805485
3,88,1,27,957,2,2010,2019,0.08982755979013171,0.21971760361012901,-0.02343805365414742
3,88,2,27,957,2,2010,2019,0.07384390875494065,0.20037311836188815,-0.04101619974499567
3,88,3,27,957,2,2010,2019,0.08185973486471769,0.17355033760622707,-0.008800183461929338
3,88,1,27,961,2,2010,2019,-0.06774097267707975,0.021878970180267795,-0.15075838828379254
3,88,2,27,961,2,2010,2019,-0.12012232318845711,-0.042625989997748796,-0.18751097056746116
3,88,3,27,961,2,2010,2019,-0.09482272367420896,-0.03206076552569495,-0.15917623591939378
3,88,1,27,962,2,2010,2019,0.019405973804372496,0.26205106768461334,-0.1831190765931296
3,88,2,27,962,2,2010,2019,-0.012123698241281964,0.21427149065851975,-0.19045959582592786
3,88,3,27,962,2,2010,2019,0.0026695048881667178,0.22714671083252053,-0.1811665925173956
3,75,1,27,410,2,2010,2019,-0.06336170944394315,0.12613729441496696,-0.22838633500686814
3,75,2,27,410,2,2010,2019,-0.0786857804629677,0.10249647248727095,-0.23791081191273314
3,75,3,27,410,2,2010,2019,-0.06719806707049651,0.11463672011382411,-0.2295507944310918
3,88,1,27,973,2,2010,2019,-0.17387755264814825,-0.09438992563152762,-0.2516593675923812
3,88,2,27,973,2,2010,2019,-0.15957121289013337,-0.02440391287319946,-0.2784547832232122
