measure,location,sex,age,cause,metric,year,val,upper,lower
4,4743,1,27,410,3,2019,3905.059197017406,4084.2640384905435,3710.3605921312733
4,4743,2,27,410,3,2019,2567.9286991600848,2689.434381983971,2429.7108635020913
4,4743,1,27,344,3,2019,0.8779169155107537,3.827048577465092,0.31915586488116965
4,4743,2,27,344,3,2019,0.46449286182519267,1.7794618822520858,0.1955986524646212
4,4743,1,27,491,3,2019,3182.2201897355835,3359.491330354559,2980.6961763694353
4,4743,2,27,491,3,2019,1763.7553327330234,1886.3752667162084,1588.5604273907456
4,4743,1,27,386,3,2019,8.277521278004519,8.910505264844858,7.51295113567123
4,4743,2,27,386,3,2019,6.783496134313765,7.52931679130925,5.794962273630931
4,4743,1,27,526,3,2019,733.72503112785,774.195296355972,691.4414034567845
4,4743,2,27,526,3,2019,355.2655441804122,376.32784103871785,332.6280645482315
4,4743,1,27,542,3,2019,459.7917480316924,781.6461514696149,311.752139852498
4,4743,2,27,542,3,2019,395.67399241786313,744.6983336617583,227.60386929087636
4,4743,1,27,558,3,2019,0.05769681638883797,0.07648125693695122,0.04430452044715653
4,4743,2,27,558,3,2019,1.9540069514722584,2.1709238883420983,1.7402650486940352
4,4743,1,27,717,3,2019,692.5887992695503,736.9772135521858,655.9954560593428
4,4743,2,27,717,3,2019,193.77747156854298,203.68138828584688,185.0436573589514
4,4743,1,27,955,3,2019,41.06600844468162,43.66244389710915,39.34018170065662
4,4743,2,27,955,3,2019,18.39996251307376,20.36259371738975,17.15826551031114
4,4743,1,27,956,3,2019,332.66988061527337,354.24501734862343,307.35545605503245
4,4743,2,27,956,3,2019,187.42262410212447,200.91468119787973,170.5836073728976
4,4743,1,27,508,3,2019,478.9755879866167,506.3821315366092,447.59053694189987
4,4743,2,27,508,3,2019,244.43524331430808,265.84824846026834,195.87472013368213
4,4743,1,27,688,3,2019,475.48129762224124,499.66875773941354,449.5935457088556
4,4743,2,27,688,3,2019,131.39669894788025,143.4296301658983,123.44360377382584
4,4743,1,27,696,3,2019,495.2870759063875,524.8816206614093,466.683577254658
4,4743,2,27,696,3,2019,186.10612641231495,198.44116158313625,171.65317547458685
4,4743,1,27,626,3,2019,18.522526038416462,25.010300558947712,13.237582371930571
4,4743,2,27,626,3,2019,32.10464569622849,49.10778965547431,20.009667435782795
4,4743,1,27,640,3,2019,423.68293475186954,513.2453931901277,362.72161666736685
4,4743,2,27,640,3,2019,354.352057612822,419.73841546689846,314.5669901026091
4,4743,1,27,973,3,2019,315.47543437839863,337.0267246434299,294.3329005883952
4,4743,2,27,973,3,2019,77.56329002895225,81.31568637723896,73.86784925374421
4,4743,1,27,974,3,2019,354.8323378326346,373.05361027197904,332.99505011556835
4,4743,2,27,974,3,2019,231.5142379225598,246.97969475365895,207.8578209306127
4,4743,1,27,653,3,2019,15.15379585590572,27.808692553618716,6.257598463663102
4,4743,2,27,653,3,2019,14.401418979582717,21.626016464161737,7.745325829472132
4,4743,1,27,957,3,2019,18.212617034416226,19.846101386500553,16.566189755900623
4,4743,2,27,957,3,2019,15.88079577956321,17.483188582686324,14.10038069763524
4,4743,1,27,961,3,2019,44.919584729903924,53.802441900531946,37.77481046895214
4,4743,2,27,961,3,2019,34.01904381099411,38.61903314578586,29.24388481664471
4,4743,1,27,962,3,2019,317.3199337335266,385.855837709229,254.32340422159436
4,4743,2,27,962,3,2019,263.20339357639926,311.68403948911885,215.98845773476376
2,4743,1,27,491,3,2019,3520.9763750455204,3714.7825720573637,3309.8177809689378
2,4743,2,27,491,3,2019,2071.810433110184,2221.1340653926163,1882.7949230655654
2,4743,1,27,688,3,2019,630.5339906542841,687.5430138364773,574.2723138976093
2,4743,2,27,688,3,2019,220.53079780026263,252.38985427349408,194.75812270668382
2,4743,1,27,696,3,2019,1391.7845792201504,1785.8411412988853,1097.7991989881275
2,4743,2,27,696,3,2019,844.0833428955101,1116.4492906830806,636.6390032083013
2,4743,1,27,973,3,2019,855.9393016098107,1043.8736004266736,695.442303140551
2,4743,2,27,973,3,2019,348.4182225861178,437.8413035607333,267.27679181877426
2,4743,1,27,974,3,2019,911.881612878263,1105.1070300538324,740.9007830211286
2,4743,2,27,974,3,2019,695.1233372548193,863.074363702848,552.2953606776139
2,4743,1,27,386,3,2019,134.799233460002,187.17155526445242,90.87026254351024
2,4743,2,27,386,3,2019,153.7686012293859,211.52249270305006,104.95581261822208
2,4743,1,27,508,3,2019,881.4217905342455,995.7911765566068,778.5358524052224
2,4743,2,27,508,3,2019,664.0827362831951,803.4269813919244,547.038377162883
2,4743,1,27,626,3,2019,1720.7492721308597,2282.450223966482,1233.0772260963026
2,4743,2,27,626,3,2019,2305.663183072804,3041.725673351934,1662.9448654022146
2,4743,1,27,717,3,2019,745.3457533926598,792.8462236415029,704.7522655942013
2,4743,2,27,717,3,2019,237.11360949539335,252.10644101225938,223.048564083434
2,4743,1,27,410,3,2019,4092.7972433174577,4300.337647390781,3882.72349853366
2,4743,2,27,410,3,2019,2723.5653007527576,2869.7558414460254,2578.556705893527
2,4743,1,27,344,3,2019,11.043236103988875,15.787298427917507,7.475982453428057
2,4743,2,27,344,3,2019,12.52259929629245,17.118429705251646,8.82004645059001
2,4743,1,27,526,3,2019,938.2396869098122,1019.3767243213109,860.3103875967787
2,4743,2,27,526,3,2019,601.650363828596,690.5862791454489,522.4981387106365
2,4743,1,27,558,3,2019,1598.6389139253258,2111.3501552123303,1175.1582076049467
2,4743,2,27,558,3,2019,2147.75020752707,2838.378975210917,1566.4336650769453
